Batch No.,공정명,작업실,시작,종료
225,a,R-1107,2021-08-31 00:00,2021-08-31 08:01
225,b,R-1107,2021-08-31 08:01,2021-08-31 23:21
226,a,R-1108,2021-08-31 21:30,2021-09-01 05:30
226,b,R-1108,2021-09-01 05:30,2021-09-01 20:42
227,a,R-1107,2021-09-01 21:30,2021-09-02 05:30
227,b,R-1107,2021-09-02 05:30,2021-09-02 20:04
228,a,R-1108,2021-09-03 00:00,2021-09-03 07:43
228,b,R-1108,2021-09-03 07:43,2021-09-04 00:00
229,a,R-1107,2021-09-04 00:00,2021-09-04 07:44
229,b,R-1107,2021-09-04 07:44,2021-09-04 21:35
230,a,R-1108,2021-09-04 22:00,2021-09-05 06:01
230,b,R-1108,2021-09-05 06:01,2021-09-08 16:00
231,a,R-1107,2021-09-05 21:00,2021-09-06 05:01
231,b,R-1107,2021-09-06 05:01,2021-09-06 19:30
232,a,R-1108,2021-09-07 13:04,2021-09-07 20:57
232,b,R-1108,2021-09-07 20:57,2021-09-08 12:04
233,a,R-1107,2021-09-09 04:45,2021-09-09 12:50
234,a,R-1108,2021-09-09 10:30,2021-09-09 18:31
233,b,R-1107,2021-09-09 12:50,2021-09-10 04:05
234,b,R-1108,2021-09-09 18:31,2021-09-10 10:30
235,a,R-1107,2021-09-11 04:45,2021-09-11 12:50
236,a,R-1108,2021-09-11 12:10,2021-09-11 20:11
235,b,R-1107,2021-09-11 12:50,2021-09-12 02:50
236,b,R-1108,2021-09-11 20:11,2021-09-12 12:00
237,a,R-1107,2021-09-13 02:30,2021-09-13 10:30
237,b,R-1107,2021-09-13 10:30,2021-09-14 02:49
238,a,R-1108,2021-09-14 07:30,2021-09-14 15:30
238,b,R-1108,2021-09-14 15:30,2021-09-15 05:47
239,a,R-1107,2021-09-15 13:20,2021-09-15 21:11
239,b,R-1107,2021-09-15 21:11,2021-09-16 10:45
240,a,R-1108,2021-09-16 10:30,2021-09-16 18:21
240,b,R-1108,2021-09-16 18:21,2021-09-17 08:00
241,a,R-1107,2021-09-18 04:30,2021-09-18 12:35
241,b,R-1107,2021-09-18 12:35,2021-09-19 03:40
242,a,R-1108,2021-09-18 20:20,2021-09-19 04:30
242,b,R-1108,2021-09-19 04:30,2021-09-19 20:00
243,a,R-1107,2021-09-19 22:00,2021-09-20 06:01
243,b,R-1107,2021-09-20 06:01,2021-09-20 21:16
244,a,R-1108,2021-09-20 21:17,2021-09-21 05:15
244,b,R-1108,2021-09-21 05:15,2021-09-22 01:20
245,a,R-1107,2021-09-22 00:00,2021-09-22 08:01
245,b,R-1107,2021-09-22 08:01,2021-09-22 21:14
246,a,R-1108,2021-09-23 02:00,2021-09-23 10:00
246,b,R-1108,2021-09-23 10:00,2021-09-24 06:32
247,a,R-1107,2021-09-24 05:00,2021-09-24 13:02
247,b,R-1107,2021-09-24 13:02,2021-09-25 02:40
248,a,R-1108,2021-09-25 03:30,2021-09-25 11:16
248,b,R-1108,2021-09-25 11:16,2021-09-26 02:15
249,a,R-1107,2021-09-26 09:00,2021-09-26 16:57
249,b,R-1107,2021-09-26 16:57,2021-09-27 06:35
250,a,R-1108,2021-09-27 00:00,2021-09-27 08:03
250,b,R-1108,2021-09-27 08:03,2021-09-27 21:30
251,a,R-1107,2021-09-28 13:00,2021-09-28 21:00
251,b,R-1107,2021-09-28 21:00,2021-09-29 10:48
252,a,R-1108,2021-09-29 14:00,2021-09-29 22:04
252,b,R-1108,2021-09-29 22:04,2021-09-30 11:05
253,a,R-1107,2021-09-30 17:30,2021-10-01 01:16
253,b,R-1107,2021-10-01 01:16,2021-10-01 16:00
254,a,R-1108,2021-10-02 14:30,2021-10-02 22:31
254,b,R-1108,2021-10-02 22:31,2021-10-03 13:40
255,a,R-1107,2021-10-03 07:05,2021-10-03 15:01
255,b,R-1107,2021-10-03 15:01,2021-10-04 04:30
256,a,R-1108,2021-10-04 12:00,2021-10-04 20:02
256,b,R-1108,2021-10-04 20:02,2021-10-05 09:40
257,a,R-1107,2021-10-05 17:00,2021-10-06 01:05
257,b,R-1107,2021-10-06 01:05,2021-10-06 14:25
258,a,R-1108,2021-10-06 10:00,2021-10-06 18:02
258,b,R-1108,2021-10-06 18:02,2021-10-07 08:00
259,a,R-1107,2021-10-07 17:00,2021-10-08 01:01
259,b,R-1107,2021-10-08 01:01,2021-10-08 16:00
260,a,R-1108,2021-10-08 18:30,2021-10-09 02:35
260,b,R-1108,2021-10-09 02:35,2021-10-09 17:30
261,a,R-1107,2021-10-09 17:00,2021-10-10 01:22
261,b,R-1107,2021-10-10 01:22,2021-10-10 16:00
262,a,R-1108,2021-10-10 13:12,2021-10-10 21:15
262,b,R-1108,2021-10-10 21:15,2021-10-11 11:35
263,a,R-1107,2021-10-11 11:00,2021-10-11 19:10
263,b,R-1107,2021-10-11 19:10,2021-10-12 10:20
264,a,R-1108,2021-10-12 17:00,2021-10-13 01:01
264,b,R-1108,2021-10-13 01:01,2021-10-14 00:15
265,a,R-1107,2021-10-14 01:00,2021-10-14 09:02
265,b,R-1107,2021-10-14 09:02,2021-10-14 22:30
266,a,R-1108,2021-10-14 17:00,2021-10-15 01:13
266,b,R-1108,2021-10-15 01:13,2021-10-15 16:10
267,a,R-1107,2021-10-15 15:05,2021-10-15 23:01
267,b,R-1107,2021-10-15 23:01,2021-10-16 15:00
268,a,R-1108,2021-10-16 11:00,2021-10-16 19:09
268,b,R-1108,2021-10-16 19:09,2021-10-17 10:45
269,a,R-1107,2021-10-17 18:30,2021-10-18 02:33
269,b,R-1107,2021-10-18 02:33,2021-10-18 18:00
270,a,R-1108,2021-10-18 18:30,2021-10-19 02:32
270,b,R-1108,2021-10-19 02:32,2021-10-19 17:50
271,a,R-1107,2021-10-19 22:32,2021-10-20 06:55
271,b,R-1107,2021-10-20 06:55,2021-10-20 20:55
272,a,R-1108,2021-10-20 11:45,2021-10-20 19:42
272,b,R-1108,2021-10-20 19:42,2021-10-21 10:00
273,a,R-1107,2021-10-21 18:30,2021-10-22 02:16
273,b,R-1107,2021-10-22 02:16,2021-10-22 16:20
274,a,R-1107,2021-11-14 05:30,2021-11-14 13:21
274,b,R-1107,2021-11-14 13:21,2021-11-15 03:23
275,a,R-1108,2021-11-15 06:00,2021-11-15 14:01
275,b,R-1108,2021-11-15 14:01,2021-11-16 04:00
276,a,R-1107,2021-11-16 05:40,2021-11-16 14:01
276,b,R-1107,2021-11-16 14:01,2021-11-17 03:40
277,a,R-1108,2021-11-17 03:00,2021-11-17 11:00
277,b,R-1108,2021-11-17 11:00,2021-11-18 01:15
278,a,R-1107,2021-11-18 05:20,2021-11-18 13:21
278,b,R-1107,2021-11-18 13:21,2021-11-19 02:35
279,a,R-1108,2021-11-19 05:30,2021-11-19 13:31
279,b,R-1108,2021-11-19 13:31,2021-11-20 03:30
280,a,R-1107,2021-11-20 08:00,2021-11-20 16:10
280,b,R-1107,2021-11-20 16:10,2021-11-21 05:45
281,a,R-1108,2021-11-21 00:00,2021-11-21 08:02
281,b,R-1108,2021-11-21 08:02,2021-11-21 22:00
282,a,R-1107,2021-11-22 03:50,2021-11-22 11:33
282,b,R-1107,2021-11-22 11:33,2021-11-23 01:33
283,a,R-1108,2021-11-23 00:00,2021-11-23 08:01
283,b,R-1108,2021-11-23 08:01,2021-11-23 22:04
284,a,R-1107,2021-11-24 02:10,2021-11-24 10:01
284,b,R-1107,2021-11-24 10:01,2021-11-25 00:40
285,a,R-1108,2021-11-25 02:40,2021-11-25 10:30
285,b,R-1108,2021-11-25 10:30,2021-11-26 00:46
286,a,R-1107,2021-11-26 03:10,2021-11-26 11:01
286,b,R-1107,2021-11-26 11:01,2021-11-27 00:00
287,a,R-1108,2021-11-27 04:20,2021-11-27 12:30
287,b,R-1108,2021-11-27 12:30,2021-11-28 01:40
288,a,R-1107,2021-11-28 02:30,2021-11-28 10:36
288,b,R-1107,2021-11-28 10:36,2021-11-29 01:50
289,a,R-1108,2021-11-29 03:30,2021-11-29 11:35
289,b,R-1108,2021-11-29 11:35,2021-11-30 02:40
290,a,R-1107,2021-11-30 04:40,2021-11-30 12:45
290,b,R-1107,2021-11-30 12:45,2021-12-01 03:10
291,a,R-1108,2021-11-30 22:45,2021-12-01 07:05
291,b,R-1108,2021-12-01 07:05,2021-12-01 21:00
292,a,R-1107,2021-12-02 04:50,2021-12-02 13:04
292,b,R-1107,2021-12-02 13:04,2021-12-03 03:15
293,a,R-1108,2021-12-03 02:40,2021-12-03 10:41
293,b,R-1108,2021-12-03 10:41,2021-12-04 01:10
294,a,R-1107,2021-12-04 02:30,2021-12-04 10:26
294,b,R-1107,2021-12-04 10:26,2021-12-05 01:00
295,a,R-1108,2021-12-05 21:00,2021-12-06 05:01
295,b,R-1108,2021-12-06 05:01,2021-12-06 19:25
296,a,R-1107,2021-12-06 16:00,2021-12-07 00:05
296,b,R-1107,2021-12-07 00:05,2021-12-07 13:50
297,a,R-1108,2021-12-07 20:30,2021-12-08 04:35
297,b,R-1108,2021-12-08 04:35,2021-12-08 19:00
298,a,R-1107,2021-12-08 19:00,2021-12-09 03:16
298,b,R-1107,2021-12-09 03:16,2021-12-09 18:15
299,a,R-1108,2021-12-09 16:30,2021-12-10 00:40
299,b,R-1108,2021-12-10 00:40,2021-12-10 15:00
300,a,R-1107,2021-12-10 16:30,2021-12-11 00:36
300,b,R-1107,2021-12-11 00:36,2021-12-11 15:00
301,a,R-1108,2021-12-11 17:00,2021-12-12 01:00
301,b,R-1108,2021-12-12 01:00,2021-12-12 15:30
302,a,R-1107,2021-12-12 17:00,2021-12-13 01:00
302,b,R-1107,2021-12-13 01:00,2021-12-13 15:40
303,a,R-1108,2021-12-13 23:10,2021-12-14 07:01
303,b,R-1108,2021-12-14 07:01,2021-12-14 21:10
304,a,R-1107,2021-12-14 15:00,2021-12-14 23:04
304,b,R-1107,2021-12-14 23:04,2021-12-15 13:10
305,a,R-1108,2021-12-15 18:30,2021-12-16 02:34
305,b,R-1108,2021-12-16 02:34,2021-12-16 16:45
306,a,R-1107,2021-12-16 16:00,2021-12-17 00:01
306,b,R-1107,2021-12-17 00:01,2021-12-17 14:20
307,a,R-1108,2021-12-17 16:30,2021-12-18 00:31
307,b,R-1108,2021-12-18 00:31,2021-12-18 14:21
308,a,R-1107,2021-12-18 16:00,2021-12-19 00:01
308,b,R-1107,2021-12-19 00:01,2021-12-19 13:30
309,a,R-1108,2021-12-19 21:32,2021-12-20 05:31
309,b,R-1108,2021-12-20 05:31,2021-12-20 20:15
310,a,R-1107,2021-12-20 18:35,2021-12-21 02:31
310,b,R-1107,2021-12-21 02:31,2021-12-21 16:20
311,a,R-1108,2021-12-21 16:20,2021-12-22 00:11
311,b,R-1108,2021-12-22 00:11,2021-12-22 13:10
312,a,R-1107,2021-12-22 16:00,2021-12-23 00:01
312,b,R-1107,2021-12-23 00:01,2021-12-23 14:00
313,a,R-1108,2021-12-23 16:00,2021-12-24 00:05
313,b,R-1108,2021-12-24 00:05,2021-12-24 14:10
314,a,R-1107,2021-12-25 02:30,2021-12-25 11:00
314,b,R-1107,2021-12-25 11:00,2021-12-26 01:15
315,a,R-1108,2021-12-26 04:45,2021-12-26 12:45
315,b,R-1108,2021-12-26 12:45,2021-12-27 03:36
316,a,R-1107,2021-12-27 05:40,2021-12-27 13:42
316,b,R-1107,2021-12-27 13:42,2021-12-28 03:50
317,a,R-1108,2021-12-28 05:20,2021-12-28 13:22
317,b,R-1108,2021-12-28 13:22,2021-12-29 03:30
318,a,R-1107,2021-12-29 04:40,2021-12-29 12:32
318,b,R-1107,2021-12-29 12:32,2021-12-30 01:40
319,a,R-1108,2021-12-30 04:15,2021-12-30 12:16
319,b,R-1108,2021-12-30 12:16,2021-12-31 02:00
320,a,R-1107,2021-12-31 04:15,2021-12-31 12:17
320,b,R-1107,2021-12-31 12:17,2022-01-01 02:10
321,a,R-1108,2022-01-01 04:34,2022-01-01 12:26
321,b,R-1108,2022-01-01 12:26,2022-01-02 02:37
322,a,R-1107,2022-01-02 04:30,2022-01-02 12:26
322,b,R-1107,2022-01-02 12:26,2022-01-03 02:20
323,a,R-1108,2022-01-03 06:10,2022-01-03 14:02
323,b,R-1108,2022-01-03 14:02,2022-01-04 04:20
324,a,R-1107,2022-01-04 05:00,2022-01-04 13:00
324,b,R-1107,2022-01-04 13:00,2022-01-05 02:55
325,a,R-1108,2022-01-05 07:30,2022-01-05 15:50
325,b,R-1108,2022-01-05 15:50,2022-01-06 04:55
326,a,R-1107,2022-01-06 04:30,2022-01-06 12:25
326,b,R-1107,2022-01-06 12:25,2022-01-07 03:00
327,a,R-1108,2022-01-07 05:40,2022-01-07 13:46
327,b,R-1108,2022-01-07 13:46,2022-01-08 04:30
328,a,R-1107,2022-01-08 10:40,2022-01-08 18:36
328,b,R-1107,2022-01-08 18:36,2022-01-09 09:53
329,a,R-1108,2022-01-09 02:30,2022-01-09 10:40
329,b,R-1108,2022-01-09 10:40,2022-01-10 01:30
330,a,R-1107,2022-01-10 02:30,2022-01-10 10:40
330,b,R-1107,2022-01-10 10:40,2022-01-11 00:40
331,a,R-1108,2022-01-11 02:30,2022-01-11 10:31
331,b,R-1108,2022-01-11 10:31,2022-01-12 00:30
332,a,R-1107,2022-01-12 01:00,2022-01-12 09:00
332,b,R-1107,2022-01-12 09:00,2022-01-13 09:55
333,a,R-1108,2022-01-13 01:00,2022-01-13 08:51
333,b,R-1108,2022-01-13 08:51,2022-01-14 00:00
334,a,R-1107,2022-01-14 12:30,2022-01-14 20:21
334,b,R-1107,2022-01-14 20:21,2022-01-15 10:45
335,a,R-1108,2022-01-15 12:30,2022-01-15 20:31
335,b,R-1108,2022-01-15 20:31,2022-01-16 10:10
336,a,R-1107,2022-01-16 14:00,2022-01-16 22:05
336,b,R-1107,2022-01-16 22:05,2022-01-17 10:50
337,a,R-1108,2022-01-17 18:30,2022-01-18 02:25
337,b,R-1108,2022-01-18 02:25,2022-01-18 18:45
338,a,R-1107,2022-01-18 18:30,2022-01-19 02:30
338,b,R-1107,2022-01-19 02:30,2022-01-19 17:00
339,a,R-1108,2022-01-19 19:00,2022-01-20 03:11
339,b,R-1108,2022-01-20 03:11,2022-01-20 18:40
340,a,R-1107,2022-01-20 21:10,2022-01-21 05:06
340,b,R-1107,2022-01-21 05:06,2022-01-21 19:40
341,a,R-1108,2022-01-21 21:10,2022-01-22 04:59
341,b,R-1108,2022-01-22 04:59,2022-01-22 19:30
342,a,R-1107,2022-01-22 20:45,2022-01-23 04:30
342,b,R-1107,2022-01-23 04:30,2022-01-23 19:05
343,a,R-1108,2022-01-23 20:30,2022-01-24 04:30
343,b,R-1108,2022-01-24 04:30,2022-01-24 19:30
344,a,R-1107,2022-01-24 20:30,2022-01-25 04:36
344,b,R-1107,2022-01-25 04:36,2022-01-25 19:35
345,a,R-1108,2022-01-25 21:00,2022-01-26 04:47
345,b,R-1108,2022-01-26 04:47,2022-01-26 19:30
346,a,R-1107,2022-01-26 20:40,2022-01-27 04:47
346,b,R-1107,2022-01-27 04:47,2022-01-27 19:30
347,a,R-1108,2022-01-27 22:30,2022-01-28 06:35
347,b,R-1108,2022-01-28 06:35,2022-01-28 20:40
348,a,R-1107,2022-01-29 02:30,2022-01-29 10:40
348,b,R-1107,2022-01-29 10:40,2022-01-30 01:50
349,a,R-1108,2022-01-30 00:30,2022-01-30 08:40
349,b,R-1108,2022-01-30 08:40,2022-01-30 22:20
350,a,R-1107,2022-01-30 22:30,2022-01-31 06:31
350,b,R-1107,2022-01-31 06:31,2022-01-31 20:05
351,a,R-1108,2022-02-01 00:00,2022-02-01 08:00
351,b,R-1108,2022-02-01 08:00,2022-02-01 22:20
352,a,R-1107,2022-02-01 22:40,2022-02-02 06:46
352,b,R-1107,2022-02-02 06:46,2022-02-02 20:50
353,a,R-1108,2022-02-02 20:10,2022-02-03 04:20
353,b,R-1108,2022-02-03 04:20,2022-02-03 17:10
354,a,R-1107,2022-02-05 12:15,2022-02-05 20:17
355,a,R-1108,2022-02-05 17:00,2022-02-06 01:10
354,b,R-1107,2022-02-05 20:17,2022-02-06 11:18
355,b,R-1108,2022-02-06 01:10,2022-02-06 14:10
356,a,R-1107,2022-02-07 03:58,2022-02-07 12:00
356,b,R-1107,2022-02-07 12:00,2022-02-08 02:00
357,a,R-1108,2022-02-07 17:00,2022-02-08 01:00
357,b,R-1108,2022-02-08 01:00,2022-02-08 15:00
358,a,R-1107,2022-02-10 12:50,2022-02-10 21:00
358,b,R-1107,2022-02-10 21:00,2022-02-11 11:00
359,a,R-1108,2022-02-11 16:20,2022-02-12 00:20
359,b,R-1108,2022-02-12 00:20,2022-02-12 14:25
360,a,R-1107,2022-02-12 12:30,2022-02-12 20:43
360,b,R-1107,2022-02-12 20:43,2022-02-13 11:43
361,a,R-1108,2022-02-13 13:15,2022-02-13 21:06
361,b,R-1108,2022-02-13 21:06,2022-02-14 10:03
362,a,R-1107,2022-02-14 09:00,2022-02-14 16:50
362,b,R-1107,2022-02-14 16:50,2022-02-15 06:00
363,a,R-1108,2022-02-15 09:00,2022-02-15 17:00
363,b,R-1108,2022-02-15 17:00,2022-02-16 06:30
364,a,R-1107,2022-02-16 13:05,2022-02-16 20:57
364,b,R-1107,2022-02-16 20:57,2022-02-17 11:43
365,a,R-1108,2022-02-17 14:40,2022-02-17 22:16
365,b,R-1108,2022-02-17 22:16,2022-02-18 12:00
366,a,R-1107,2022-02-18 10:30,2022-02-18 18:26
366,b,R-1107,2022-02-18 18:26,2022-02-19 08:30
367,a,R-1108,2022-02-19 15:45,2022-02-19 23:31
367,b,R-1108,2022-02-19 23:31,2022-02-20 14:12
368,a,R-1107,2022-02-20 10:30,2022-02-20 18:30
368,b,R-1107,2022-02-20 18:30,2022-02-21 08:55
369,a,R-1108,2022-02-21 13:25,2022-02-21 21:21
369,b,R-1108,2022-02-21 21:21,2022-02-22 11:15
370,a,R-1107,2022-02-22 14:00,2022-02-22 22:05
370,b,R-1107,2022-02-22 22:05,2022-02-23 12:30
371,a,R-1108,2022-02-23 13:00,2022-02-23 21:01
371,b,R-1108,2022-02-23 21:01,2022-02-24 09:50
372,a,R-1107,2022-02-24 15:00,2022-02-24 23:05
372,b,R-1107,2022-02-24 23:05,2022-02-25 13:36
373,a,R-1108,2022-02-25 13:30,2022-02-25 21:31
373,b,R-1108,2022-02-25 21:31,2022-02-26 11:15
374,a,R-1107,2022-02-26 13:30,2022-02-26 21:31
374,b,R-1107,2022-02-26 21:31,2022-02-27 10:35
375,a,R-1108,2022-02-27 12:30,2022-02-27 20:45
375,b,R-1108,2022-02-27 20:45,2022-02-28 11:10
376,a,R-1107,2022-02-28 12:30,2022-02-28 20:45
376,b,R-1107,2022-02-28 20:45,2022-03-01 10:50
377,a,R-1108,2022-03-02 03:00,2022-03-02 11:01
378,a,R-1107,2022-03-02 10:30,2022-03-02 18:40
377,b,R-1108,2022-03-02 11:01,2022-03-02 23:30
378,b,R-1107,2022-03-02 18:40,2022-03-03 13:55
379,a,R-1108,2022-03-03 18:30,2022-03-04 02:16
379,b,R-1108,2022-03-04 02:16,2022-03-04 16:00
380,a,R-1107,2022-03-04 12:50,2022-03-04 20:40
380,b,R-1107,2022-03-04 20:40,2022-03-05 12:00
381,a,R-1107,2022-03-05 12:00,2022-03-05 20:00
381,b,R-1107,2022-03-05 20:00,2022-03-06 13:07
382,a,R-1107,2022-03-06 13:00,2022-03-06 20:51
382,b,R-1107,2022-03-06 20:51,2022-03-07 12:50
383,a,R-1108,2022-03-07 10:30,2022-03-07 18:20
383,b,R-1108,2022-03-07 18:20,2022-03-08 07:30
384,a,R-1107,2022-03-08 10:50,2022-03-08 18:40
384,b,R-1107,2022-03-08 18:40,2022-03-09 13:05
385,a,R-1108,2022-03-10 05:50,2022-03-10 14:01
386,a,R-1107,2022-03-10 10:30,2022-03-10 18:31
385,b,R-1108,2022-03-10 14:01,2022-03-11 02:40
386,b,R-1107,2022-03-10 18:31,2022-03-11 08:02
387,a,R-1108,2022-03-11 21:00,2022-03-12 05:01
387,b,R-1108,2022-03-12 05:01,2022-03-12 19:24
388,a,R-1107,2022-03-12 14:30,2022-03-12 22:31
388,b,R-1107,2022-03-12 22:31,2022-03-13 12:10
389,a,R-1108,2022-03-13 12:50,2022-03-13 20:56
389,b,R-1108,2022-03-13 20:56,2022-03-14 16:00
390,a,R-1107,2022-03-14 10:10,2022-03-14 17:50
390,b,R-1107,2022-03-14 17:50,2022-03-15 08:00
391,a,R-1108,2022-03-15 13:00,2022-03-15 21:01
391,b,R-1108,2022-03-15 21:01,2022-03-16 10:36
392,a,R-1107,2022-03-16 13:00,2022-03-16 21:01
392,b,R-1107,2022-03-16 21:01,2022-03-17 11:10
393,a,R-1108,2022-03-17 16:00,2022-03-18 00:05
393,b,R-1108,2022-03-18 00:05,2022-03-18 14:00
394,a,R-1107,2022-03-18 08:20,2022-03-18 16:21
394,b,R-1107,2022-03-18 16:21,2022-03-19 06:10
395,a,R-1108,2022-03-19 13:30,2022-03-19 21:40
395,b,R-1108,2022-03-19 21:40,2022-03-20 12:00
396,a,R-1107,2022-03-20 11:00,2022-03-20 19:05
396,b,R-1107,2022-03-20 19:05,2022-03-21 09:30
397,a,R-1108,2022-03-21 13:00,2022-03-21 21:10
397,b,R-1108,2022-03-21 21:10,2022-03-22 14:35
398,a,R-1107,2022-03-22 23:00,2022-03-23 07:01
398,b,R-1107,2022-03-23 07:01,2022-03-23 20:35
399,a,R-1108,2022-03-24 01:00,2022-03-24 09:01
399,b,R-1108,2022-03-24 09:01,2022-03-24 22:50
400,a,R-1107,2022-03-24 21:00,2022-03-25 04:46
400,b,R-1107,2022-03-25 04:46,2022-03-25 19:00
401,a,R-1108,2022-03-25 23:00,2022-03-26 07:01
401,b,R-1108,2022-03-26 07:01,2022-03-26 20:40
402,a,R-1107,2022-03-26 20:00,2022-03-27 04:00
402,b,R-1107,2022-03-27 04:00,2022-03-27 17:01
403,a,R-1108,2022-03-27 22:58,2022-03-28 07:05
403,b,R-1108,2022-03-28 07:05,2022-03-28 20:45
404,a,R-1107,2022-03-28 16:09,2022-03-29 00:11
404,b,R-1107,2022-03-29 00:11,2022-03-29 13:05
405,a,R-1108,2022-03-30 00:00,2022-03-30 08:05
405,b,R-1108,2022-03-30 08:05,2022-03-30 22:00
406,a,R-1107,2022-03-31 00:00,2022-03-31 08:05
406,b,R-1107,2022-03-31 08:05,2022-03-31 20:54
407,a,R-1108,2022-04-01 05:00,2022-04-01 12:56
407,b,R-1108,2022-04-01 12:56,2022-04-02 02:11
408,a,R-1107,2022-04-02 01:00,2022-04-02 08:46
408,b,R-1107,2022-04-02 08:46,2022-04-02 22:35
409,a,R-1108,2022-04-02 21:00,2022-04-03 05:05
409,b,R-1108,2022-04-03 05:05,2022-04-03 19:15
410,a,R-1107,2022-04-03 21:30,2022-04-04 05:40
410,b,R-1107,2022-04-04 05:40,2022-04-04 19:45
411,a,R-1108,2022-04-04 20:40,2022-04-05 04:45
411,b,R-1108,2022-04-05 04:45,2022-04-05 17:50
412,a,R-1107,2022-04-05 19:10,2022-04-06 03:25
412,b,R-1107,2022-04-06 03:25,2022-04-06 17:10
413,a,R-1108,2022-04-06 18:30,2022-04-07 02:45
413,b,R-1108,2022-04-07 02:45,2022-04-07 16:50
414,a,R-1107,2022-04-08 19:45,2022-04-09 03:36
414,b,R-1107,2022-04-09 03:36,2022-04-09 19:00
415,a,R-1108,2022-04-09 21:00,2022-04-10 04:45
415,b,R-1108,2022-04-10 04:45,2022-04-10 19:02
416,a,R-1107,2022-04-10 21:00,2022-04-11 04:40
416,b,R-1107,2022-04-11 04:40,2022-04-11 19:40
417,a,R-1108,2022-04-12 02:30,2022-04-12 10:31
417,b,R-1108,2022-04-12 10:31,2022-04-13 01:24
418,a,R-1107,2022-04-12 19:30,2022-04-13 03:32
418,b,R-1107,2022-04-13 03:32,2022-04-13 19:10
419,a,R-1108,2022-04-13 19:30,2022-04-14 03:33
419,b,R-1108,2022-04-14 03:33,2022-04-14 17:15
420,a,R-1107,2022-04-15 02:30,2022-04-15 10:31
420,b,R-1107,2022-04-15 10:31,2022-04-16 01:20
421,a,R-1108,2022-04-15 20:30,2022-04-16 04:22
421,b,R-1108,2022-04-16 04:22,2022-04-16 17:17
422,a,R-1107,2022-04-16 20:35,2022-04-17 04:46
422,b,R-1107,2022-04-17 04:46,2022-04-17 20:00
423,a,R-1108,2022-04-17 20:00,2022-04-18 04:02
423,b,R-1108,2022-04-18 04:02,2022-04-18 18:56
424,a,R-1107,2022-04-18 20:00,2022-04-19 04:01
424,b,R-1107,2022-04-19 04:01,2022-04-19 19:28
425,a,R-1108,2022-04-19 22:35,2022-04-20 06:35
425,b,R-1108,2022-04-20 06:35,2022-04-20 21:00
426,a,R-1107,2022-04-21 00:00,2022-04-21 07:50
426,b,R-1107,2022-04-21 07:50,2022-04-21 21:55
427,a,R-1108,2022-04-21 20:30,2022-04-22 04:31
427,b,R-1108,2022-04-22 04:31,2022-04-22 19:35
428,a,R-1107,2022-04-22 21:00,2022-04-23 05:10
428,b,R-1107,2022-04-23 05:10,2022-04-23 19:30
429,a,R-1108,2022-04-24 00:00,2022-04-24 07:50
429,b,R-1108,2022-04-24 07:50,2022-04-24 21:55
430,a,R-1107,2022-04-24 21:20,2022-04-25 05:30
430,b,R-1107,2022-04-25 05:30,2022-04-25 20:40
431,a,R-1108,2022-04-25 19:00,2022-04-26 03:05
431,b,R-1108,2022-04-26 03:05,2022-04-26 17:35
432,a,R-1107,2022-04-26 18:40,2022-04-27 02:50
432,b,R-1107,2022-04-27 02:50,2022-04-27 17:23
433,a,R-1108,2022-04-27 21:30,2022-04-28 05:22
433,b,R-1108,2022-04-28 05:22,2022-04-28 19:44
434,a,R-1107,2022-04-28 21:00,2022-04-29 05:10
434,b,R-1107,2022-04-29 05:10,2022-04-29 20:00
435,a,R-1108,2022-04-29 21:30,2022-04-30 05:21
435,b,R-1108,2022-04-30 05:21,2022-04-30 19:50
436,a,R-1107,2022-04-30 23:00,2022-05-01 07:05
436,b,R-1107,2022-05-01 07:05,2022-05-01 19:58
437,a,R-1108,2022-05-01 17:00,2022-05-02 01:00
437,b,R-1108,2022-05-02 01:00,2022-05-02 16:00
438,a,R-1107,2022-05-03 00:30,2022-05-03 08:31
438,b,R-1107,2022-05-03 08:31,2022-05-03 21:25
439,a,R-1108,2022-05-03 20:40,2022-05-04 04:36
439,b,R-1108,2022-05-04 04:36,2022-05-04 17:45
440,a,R-1107,2022-05-04 19:10,2022-05-05 03:11
440,b,R-1107,2022-05-05 03:11,2022-05-05 17:05
441,a,R-1108,2022-05-05 20:00,2022-05-06 04:00
441,b,R-1108,2022-05-06 04:00,2022-05-06 17:55
442,a,R-1107,2022-05-07 10:40,2022-05-07 18:32
442,b,R-1107,2022-05-07 18:32,2022-05-08 09:10
443,a,R-1108,2022-05-08 11:10,2022-05-08 19:06
443,b,R-1108,2022-05-08 19:06,2022-05-09 11:00
444,a,R-1107,2022-05-09 15:00,2022-05-09 23:01
444,b,R-1107,2022-05-09 23:01,2022-05-10 13:10
445,a,R-1108,2022-05-10 09:00,2022-05-10 17:02
445,b,R-1108,2022-05-10 17:02,2022-05-11 06:12
446,a,R-1107,2022-05-11 14:15,2022-05-11 22:16
446,b,R-1107,2022-05-11 22:16,2022-05-12 13:00
447,a,R-1108,2022-05-12 10:30,2022-05-12 18:31
447,b,R-1108,2022-05-12 18:31,2022-05-13 09:30
448,a,R-1107,2022-05-13 10:30,2022-05-13 18:31
448,b,R-1107,2022-05-13 18:31,2022-05-14 16:00
449,a,R-1108,2022-05-14 14:00,2022-05-14 22:05
449,b,R-1108,2022-05-14 22:05,2022-05-15 12:45
